1,샘플1,2653000000000,20,30,40,20,20,20
2,샘플2,8700000000000,21,31,41,20,20,20
3,샘플3,2763700000000,22,32,42,20,20,20
4,샘플4,3434870000000,23,33,43,20,20,20
5,샘플5,9723600000000,24,34,44,20,20,20
6,샘플6,3400000000000,25,35,45,20,20,20
7,샘플7,5476300000000,26,36,46,20,20,20
8,샘플8,4896500000000,27,37,47,20,20,20
9,샘플9,4593840000000,28,38,48,20,20,20
10,샘플10,8847660000000,29,39,49,20,20,20
11,샘표 쌈토장,8801010000000,0,13,8,15,117,205
12,대상 청정원 양념듬뿍쌈장,8801050000000,0,26,8,16,103,220
13,순창궁발아콩쌈장,8801080000000,0,24,4,18,108,230
14,해찬들 국산양념쌈장,8801010000000,0,21,6,15,116,200
15,해찬들 사계절 쌈장,8801010000000,0,21,5,15,116,200
16,홈플러스 시그니쳐 생마늘 듬뿍 쌈장,8801390000000,0,22,4,11,124,225
17,해표 쌈장,8801080000000,0,22,7,14,125,180
18,해찬들 고기전용쌈장,8801010000000,0,19,6,13,116,195
19,진미식품 진미춘장,8801390000000,0,13,7,25,169,177
20,팔도 팔도비빔장 시그니처용기,8809300000000,0,41,13,9,137,250
21,cj제일제당 해찬들 사과듬뿍비빔장,8801010000000,0,31,3,5,74,205
22,오뚜기 비빔장,8801050000000,0,32,3,4,111,220
23,청정원 순창 초고추장,8801050000000,0,37,4,5,86,220
24,사조대림 순창궁새촘상큼초고추장,8801080000000,0,30,8,7,5,247
25,해찬들 새콤달콤 초고추장,8801010000000,0,39,2,7,101,220
26,청정원 우리쌀로 만든 초고추장,8801050000000,0,37,4,5,86,220
27,홈플러스 시그니처 새콤하고 달콤한 초고추장,8801390000000,0,35,6,7,92,224
28,순창 쇠고기볶음고추장,8801050000000,2,11,4,5,57,140
29,홈플러스 시그니처 국산돼지 볶음고추장,8801560000000,3,17,9,13,97,240
30,샘표 맑은 조선간장,8801010000000,0,1,0,15,472,80
31,샘표 국간장,8801010000000,0,2,0,15,374,60
32,샘표 국산콩간장,8801010000000,0,5,0,18,305,110
33,샘표 저염간장,8801010000000,0,3,0,18,227,100
34,샘표 양조간장 701,8801010000000,0,4,0,20,315,125
35,샘표 양조간장 501s,8801010000000,0,2,0,18,315,105
36,홈플러스 시그니처 자연숙성 양조간장,8801050000000,0,3,0,16,299,60
37,기꼬만간장,4901520000000,0,0,0,1,16,4
38,샘표 회간장,8801010000000,0,3,0,18,227,110
39,백설 참치액,8801040000000,0,4,0,6,464,37
40,오뚜기 가쓰오부시국수장국,8801050000000,0,13,0,4,210,68
41,오뚜기 멸치국수장국,8801050000000,0,5,0,2,210,40
42,오뚜기 메밀소바장국,8801050000000,0,38,0,7,225,192
43,청정원 햇살담은 자연숙성 조선국간장,8801050000000,0,1,0,13,480,60
44,cj제일제당 백설 해바라기유,8801010000000,0,0,185,0,0,900
45,백설 압착올리브유,8801010000000,0,0,185,0,0,900
46,백설 프렌치포도씨유,8801010000000,0,0,185,0,0,900
47,백설 카놀라유라이트,8801010000000,0,0,185,0,0,900
48,cj제일제당 백살 100+만능요리 파기름,8801010000000,0,0,185,0,0,900
49,일신나퓨 청정원 유기농 코코넛오일,8801050000000,0,0,170,0,0,830
50,nif 블랙트러플오일,8809130000000,0,0,167,0,0,840
51,nif 압착아보카도오일,9421010000000,0,0,169,0,0,820
52,오뚜기 옛날 조청 쌀엿,8801050000000,0,36,0,0,2,316
53,오뚜기 매실청,8801050000000,0,61,0,0,0,250
54,백설 리얼 매실청,8801010000000,0,81,0,0,1,330
55,백설 리얼 오미자청,8801010000000,0,60,0,0,1,276
56,백설 리얼 생강청,8801010000000,0,79,0,0,0,355
57,오뚜기 미향 발효맛술,8801050000000,0,44,0,0,27,176
58,롯데 맛술 미림,8801060000000,0,29,0,0,0,205
59,betolli extra virgin olive oil,41790002201,0,0,169,0,0,819
60,사조대림 해표 올리브유 엑스트라버진,8801040000000,0,0,185,0,0,900
